Country,Year,Month,Day,Temperature (Celsius),Precipitation (mm),Wind Speed (km/h)
United Kingdom,2013,10,30,-8.24993954246712,54.20171297356612,26.059358141536002
Germany,2005,8,24,-3.5879730957542977,45.60121080824972,24.973633020207938
Germany,2013,3,26,-6.762824791603395,88.25736559520561,14.84235754183788
United Kingdom,2000,7,17,29.35486815551578,73.47466933859329,27.3941863565743
Germany,2019,5,29,21.52440969426373,5.559140261983442,13.994715033398345
United Kingdom,2002,11,15,-8.711456832787219,33.39908515914729,15.315951305297551
Spain,2011,5,22,26.477482618161773,10.484966221161763,10.981217058568898
France,2014,8,11,0.9340949538311207,49.5160558865179,5.382199251296067
Spain,2010,5,20,20.18907338073832,49.04599372368238,10.906142527355302
Spain,2010,3,23,-1.1360557565299523,84.55282448571592,21.977576460066093
Italy,2010,8,1,4.5491786867031525,64.08463899793475,16.865949050134315
France,2006,10,11,6.594038650528994,52.85665107059773,10.928690934245648
United Kingdom,2012,9,11,-2.3599629151790102,76.80872112862913,27.634981586626935
United Kingdom,2000,8,22,4.575436055990082,89.90573025716886,12.575640070501256
France,2018,12,16,4.087426117140076,80.7608208363321,10.703423856253327
United Kingdom,2013,9,25,-3.1210045505626516,33.256552158515916,12.196023946110712
Spain,2008,3,21,3.908199510574292,93.34413814009977,32.454991041041815
Spain,2000,10,17,18.804996518814797,2.2096623431348883,19.44815809436091
United Kingdom,2003,6,28,10.262148594408139,53.42382803859432,27.57215621636866
France,2017,4,27,8.617002885745258,3.291197332618734,8.960245714909897
Germany,2020,7,11,-9.752189811284925,77.61979569781889,11.19004067408764
Italy,2005,10,20,-6.495573504883287,58.65796724980574,26.482888144143
Germany,2005,1,18,29.652847498008292,80.9660146653977,14.91304410113694
Italy,2000,4,22,10.068368088338087,15.914967633732513,19.92598107232063
Italy,2002,5,14,-0.8218205554597944,10.830973001638068,12.441822359802106
Germany,2004,2,5,1.1284666729890702,67.64471203118143,36.73468908687305
France,2001,9,7,17.92142344580423,42.12106535350893,31.271745931631518
France,2002,9,20,18.115974963648085,58.82561241952603,6.375145037183726
Spain,2022,9,20,6.1173869914705605,50.8412203892543,36.08766934092092
Spain,2024,11,17,9.847501303450784,27.07937101015817,29.004388453861107
Spain,2016,6,25,18.886974794030174,84.26073885099213,23.26407039545588
France,2016,2,6,3.880531869559295,18.121897798571396,16.42648749710562
France,2011,3,2,26.96413163438659,88.7402844985791,14.555164052086289
Spain,2013,3,10,27.47366069057,69.59650189382145,14.29444592110807
France,2022,1,22,13.641076924975977,58.07000358023202,14.669364366366489
Germany,2006,11,16,-6.9282027248905775,30.719636434363007,17.402823270486593
France,2003,4,24,26.073364372268408,18.041621777062723,17.47385809491593
Germany,2020,2,26,13.162484580811949,0.9008015504372024,22.3232281646878
France,2016,12,2,5.924925943908255,35.14783469971184,13.896082099694143
Spain,2001,9,25,3.162219437016475,92.71746099426323,5.574151428003843
Germany,2009,3,6,17.381491812389044,97.79130007074185,16.253053594110064
France,2000,6,3,-5.067454046332851,68.78369831070472,18.696645671933084
Germany,2003,9,26,17.90151439745001,70.66544518283689,19.309002408334813
Germany,2010,11,4,16.35199122785084,84.76929418131701,38.930690134587316
Italy,2002,3,27,1.8994421326748032,18.338540452495533,35.92001144295506
Germany,2002,4,29,20.748694695913564,17.60311207569112,38.351337041945555
Italy,2019,9,13,2.0338172802483747,70.37983663893196,25.790004158419645
Italy,2015,3,8,-9.767614380700444,18.902224460665273,17.93365375324841
Spain,2007,5,20,26.98020276416444,69.33794862990945,29.118060435612783
Germany,2011,5,11,-2.993733761579609,14.732303293246185,11.854012989139903
France,2020,9,11,-3.2924114018265094,14.657913690142477,30.716917269988727
United Kingdom,2007,6,20,0.5567315039701448,80.99552192723021,34.560204876040544
Germany,2002,8,22,15.382491296028395,29.36364214110988,5.355977935256369
Italy,2008,4,5,-5.375642795231053,25.728144367029216,34.00049503425561
United Kingdom,2021,5,4,23.947397775557555,66.04250294222328,9.955480363473262
Spain,2015,7,1,2.421533987723894,80.36205679609066,38.15895319237285
Spain,2020,8,8,4.019346615247024,25.995568929420454,9.737335823556005
France,2011,8,23,26.974447150054665,32.39171970109194,8.86138587173359
Spain,2021,10,5,23.549163912128186,91.4591573449104,39.12875190516169
Spain,2004,6,23,8.26341071505821,97.09099523020295,27.941709871023978
Italy,2013,4,1,16.899897357283447,74.04572021310746,18.8685716277455
Italy,2006,5,15,11.205865289551188,34.93619792385982,36.73328909322915
Germany,2019,11,20,16.42903322272627,62.001106630123715,7.311695169030841
United Kingdom,2007,9,17,11.39349893662079,0.8020597050504619,38.59079006326885
France,2006,3,30,16.591110656450724,64.37543391797938,14.324789487350591
United Kingdom,2009,2,19,12.389635380094091,49.79846079259795,19.997952672243287
Italy,2020,3,7,4.091429662711086,94.61080074018085,25.525689310534943
Germany,2019,4,21,5.4573872240156795,6.780745778379571,35.9643952804837
France,2003,1,9,24.856218183693244,83.03484117660463,32.44488561190381
Spain,2022,2,16,22.635611866961618,30.781085139581123,7.636953342682403
United Kingdom,2008,7,30,-5.826762399268199,47.690537367314874,23.92086548154483
France,2012,6,30,21.0672859912845,28.576006118822196,35.884184807926104
United Kingdom,2004,12,5,-4.657599354023518,80.18032192369878,30.28469664131209
